N;Контейнер;ISO тип;Размер;Высотность;Вес брутто;Вес нетто;Вес тары;Трафарет;Порожний;Пломбы;№ коносамента;Порожний как груз;Дата коносамента;Наименование груза;Грузоотправитель;Кол-во мест;Дата ДУ;№ ДУ;Тех.состояние;МОПОГ;Дата прибытия;Транспорт прибытия;Судно прибытия;Флаг судна;Рейс прибытия;Станция/порт отправления;Страна отправления;Текущий экспедитор;Морской перевозчик;Номинированый экспедитор;Таможенный режим;№ ГТД;Дата убытия;Транспорт убытия;№ транспорта убытия;№ накладной/коносамента;№ ГУ12;Станция/порт назначения;Страна назначения;Конечная станция маршрута;Страна кон.станции маршрута;Внутрипортовые операции;Релиз;Дата получения релиза;Дата сдачи на погрузку;Дата выпуска таможней;Охрана;Грузополучатель;Номер поезда;Экспедиторская отправка
1;TKRU3055043;22G1;DC 20;DC;29916.000;27756.000;2160.000;30480.000;;КЛЕЩ-60СЦ5РЖДН8118164;ЭЦ755855;;06.08.2026;ЭЛЕКТРОДЫ ГРАФИТИРОВАННЫЕ И УГОЛЬНЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;Общество с ограниченной ответственностью "Терминал Врангель";18;12.08.2026;92131500;;;07.08.2026 16:23;91984310;;;;;;РУСАЛТРАНС ООО;;;ГТД;TKRU3055043;19.08.2026 11:59;Ж/Д;94290756;ЭШ082966;0047737585;КАМЫШТА (887603);Россия;;;Перемещение контейнера при креплении груза/стали/установке щита Заявка от 12.08.2026 Крепление груза в контейнере согласно действующей схемы крепления Заявка от 12.08.2026 Выполнено 12.08.2026 15:30;Перемещение контейнера при креплении груза/стали/установке щита Заявка от 12.08.2026;Крепление груза в контейнере согласно действующей схемы крепления Заявка от 12.08.2026 Выполнено 12.08.2026 15:30;;;17.08.2026 13:53;17.08.2026 13:53;;Акционерное общество "РУСАЛ Саяногорский Алюминиевый Завод";;экспедиторская
2;TKRU3359323;22G1;DC 20;DC;29796.000;27716.000;2080.000;30480.000;;КЛЕЩ-60СЦ5РЖДН8118186;;;;;;;31.07.2026;92053607;;;08.08.2026 10:04;Склад;;;;;;РУСАЛТРАНС ООО;;РУСАЛТРАНС ООО;ГТД;10620010/030826/5138747;20.08.2026 13:19;Ж/Д;90965245;ЭЧ788497;0047697015;ПИХТОВАЯ (895506);Россия;;;Крепление груза в контейнере согласно действующей схемы крепления Заявка от 09.08.2026 Выполнено 09.08.2026 10:04;Крепление груза в контейнере согласно действующей схемы крепления Заявка от 09.08.2026 Выполнено 09.08.2026 10:04;1181406;08.08.2026 10:05;10.08.2026 11:03;08.08.2026 10:06;;Акционерное общество "Богучанский Алюминиевый Завод";;экспедиторская
3;TKRU3294454;22G1;DC 20;DC;29796.000;27716.000;2080.000;30480.000;;КЛЕЩ-60СЦ5РЖДН5795321;STQNVS78761;;09.07.2026;АНОДНЫЕ БЛОКИ;GOLDTEX CONSULTANTS LIMITED 2305,UNIVERSAL TRADE CENTRE,3 ARBUTHNOTROAD,CENTRAL,HONG KONG.;;15.07.2026;2026/Q2511N/Q2512S/STQNVS78761;;;15.07.2026 15:02;Q2511N/Q2512S ДЖИ КСИНГ 89;JI XING 89;Республика Гвинея-Бисау;Q2511N;РИЖАО(CNRZH);CHN;СМАРТ ООО;СМАРТ ООО;РУСАЛТРАНС ООО;ГТД;10720020/170726/5002517 10720020/170726/5002517;03.08.2026 01:47;Ж/Д;98680168;ЭЦ756000;0047595491;ПИХТОВАЯ (895506);Россия;;;Перемещение контейнера при креплении груза/стали/установке щита Заявка от 21.07.2026 Крепление груза в контейнере согласно действующей схемы крепления Заявка от 17.07.2026 Выполнено 22.07.2026 10:04;Перемещение контейнера при креплении груза/стали/установке щита Заявка от 21.07.2026;Крепление груза в контейнере согласно действующей схемы крепления Заявка от 17.07.2026 Выполнено 22.07.2026 10:04;RLS54530;15.07.2026 17:44;22.07.2026 10:33;17.07.2026 12:41;;Акционерное общество "Богучанский Алюминиевый Завод";;экспедиторская
4;TKRU3170638;22G1;DC 20;DC;29836.000;27756.000;2080.000;30480.000;;КЛЕЩ-60СЦ5РЖДН5789199;STQNVS78762;;09.07.2026;АНОДНЫЕ БЛОКИ;GOLDTEX CONSULTANTS LIMITED 2305,UNIVERSAL TRADE CENTRE,3 ARBUTHNOTROAD,CENTRAL,HONG KONG.;;15.07.2026;2026/Q2511N/Q2512S/STQNVS78762;;;15.07.2026 15:04;Q2511N/Q2512S ДЖИ КСИНГ 89;JI XING 89;Республика Гвинея-Бисау;Q2511N;РИЖАО(CNRZH);CHN;СМАРТ ООО;СМАРТ ООО;РУСАЛТРАНС ООО;ГТД;10620010/140726/5123028 10620010/140726/5123028;03.08.2026 01:47;Ж/Д;98156375;ЭЦ755870;0047595440;КАМЫШТА (887603);Россия;;;Перемещение контейнера при креплении груза/стали/установке щита Заявка от 19.07.2026 Крепление груза в контейнере согласно действующей схемы крепления Заявка от 17.07.2026 Выполнено 23.07.2026 11:42;Перемещение контейнера при креплении груза/стали/установке щита Заявка от 19.07.2026;Крепление груза в контейнере согласно действующей схемы крепления Заявка от 17.07.2026 Выполнено 23.07.2026 11:42;RLS54556;15.07.2026 17:49;22.07.2026 10:33;16.07.2026 19:01;;Акционерное общество "РУСАЛ Саяногорский Алюминиевый Завод";;экспедиторская
5;TKRU3172374;22G1;DC 20;DC;29836.000;27756.000;2080.000;30480.000;;КЛЕЩ-60СЦ5РЖДН8118845;STQNVS78760;;09.07.2026;АНОДНЫЕ БЛОКИ;GOLDTEX CONSULTANTS LIMITED 2305,UNIVERSAL TRADE CENTRE,3 ARBUTHNOTROAD,CENTRAL,HONG KONG.;;15.07.2026;2026/Q2511N/Q2512S/STQNVS78760;D18 RM;D18;RM;;15.07.2026 15:31;Q2511N/Q2512S ДЖИ КСИНГ 89;JI XING 89;Республика Гвинея-Бисау;Q2511N;РИЖАО(CNRZH);CHN;СМАРТ ООО;СМАРТ ООО;РУСАЛТРАНС ООО;ГТД;10620010/140726/5123057 10620010/140726/5123057;03.08.2026 01:47;Ж/Д;98156375;ЭЦ757283;0047584604;КАМЫШТА (887603);Россия;;;Перемещение контейнера при креплении груза/стали/установке щита Заявка от 19.07.2026 Крепление груза в контейнере согласно действующей схемы крепления Заявка от 16.07.2026 Выполнено 20.07.2026 19:12;Перемещение контейнера при креплении груза/стали/установке щита Заявка от 19.07.2026;Крепление груза в контейнере согласно действующей схемы крепления Заявка от 16.07.2026 Выполнено 20.07.2026 19:12;RLS54489;15.07.2026 17:38;22.07.2026 10:33;16.07.2026 11:38;;Акционерное общество "РУСАЛ Саяногорский Алюминиевый Завод";;экспедиторская
